Age,Grade,Gender,Race,SES_Quartile,ParentalEducation,SchoolType,Locale,TestScore_Math,TestScore_Reading,TestScore_Science,GPA,AttendanceRate,StudyHours,InternetAccess,Extracurricular,PartTimeJob,ParentSupport,Romantic,FreeTime,GoOut
16,11,Female,Black,2,SomeCollege,Public,Town,85.11922390034427,86.6348520442151,76.99698951039241,3.7457168824453024,0.9251034255008466,1.421179898184461,1,0,0,1,0,1,1
16,11,Female,Hispanic,1,HS,Public,Suburban,78.28455869187559,77.76680508610077,71.63302249601189,3.2071654363918984,0.9010942817584596,1.129131586334169,1,1,0,0,0,4,2
16,11,Male,Hispanic,3,SomeCollege,Public,Rural,78.5825721923663,69.52070030381329,77.31794531744633,2.6308250165803018,0.8989143135177431,1.2291918017038412,1,0,0,0,1,3,3
18,12,Male,White,3,SomeCollege,Private,Rural,71.51324572841854,72.36997326642692,69.75492244872865,3.0110204096327484,0.8715928487984902,0.7450609822540897,1,0,0,1,0,3,2
14,9,Female,White,2,HS,Public,City,68.82727024567534,64.26836651888863,62.54933698043402,2.5995926479414297,0.8583804874326503,0.8661395188768117,1,1,1,0,0,3,1
18,12,Female,Hispanic,2,SomeCollege,Public,Suburban,66.70269692081129,72.29848531486564,64.99355044203098,2.512217284685605,0.8397105794735982,0.7950163220504339,1,1,1,0,1,2,2
17,12,Female,White,3,SomeCollege,Public,Rural,86.85896295678056,75.03516341452043,70.63534290026038,3.060701059834441,0.92430797032514,0.9410249393577204,1,0,0,1,1,1,1
14,9,Male,White,1,<HS,Public,Town,69.3050180311806,75.40031129259106,66.0150584625269,2.335384357162337,0.8867802712441842,0.8472200656235074,1,1,0,0,0,5,2
18,12,Female,White,4,HS,Private,Suburban,72.91764724409369,69.36018330902304,66.06264882976451,2.5585207363805718,0.8474156166552685,0.962657869197756,1,1,1,1,1,3,1
17,12,Male,Hispanic,3,SomeCollege,Public,Rural,73.6651342130627,74.58916871121403,73.76746176894302,2.864334387349769,0.8593871865149558,1.3653829152721293,1,0,0,0,1,5,2
15,10,Male,Black,3,Bachelors+,Public,Suburban,77.93717558289188,74.15265652477846,79.47513560754562,3.5802778723641926,0.9042235676142958,1.1472204086639908,1,1,0,1,0,2,3
16,11,Male,Hispanic,3,SomeCollege,Private,Town,64.31362513767992,68.12590168921547,64.95226491931581,2.5920698448822197,0.848998324384806,0.9144976238056176,1,0,0,0,1,3,1
16,11,Female,White,1,Bachelors+,Public,Town,84.33707539247598,84.12940980319458,72.98037160718948,3.2523602237725613,0.9052415213027064,0.8927267799258611,1,1,0,1,0,4,1
15,10,Male,White,4,SomeCollege,Public,City,75.08670493535703,80.31187678875277,84.5206831953309,3.3694967240098816,0.9149494780953542,0.4497630725552163,1,1,0,1,0,3,1
14,9,Male,Black,4,SomeCollege,Public,City,73.1256692719549,67.41149627723338,72.47127223395998,2.85375129550482,0.8577507993688227,0.6267166234168969,1,0,1,1,0,3,1
16,11,Female,White,1,HS,Public,Suburban,89.16510957591821,84.5800724715743,78.74436136039625,3.5813225884489315,0.9616349468447662,1.2965237603343778,1,0,0,0,0,3,1
15,10,Male,Hispanic,1,HS,Public,City,75.4442606329071,80.51873521707333,74.3908401582858,2.9264359546466405,0.9201856034913212,0.9774200789722256,1,1,0,0,1,3,3
18,12,Male,Hispanic,1,HS,Private,City,61.69573932874778,64.87653858837264,75.4765594334178,2.9558842672823022,0.8442565528520427,1.057378786079342,0,0,0,0,1,3,2
18,12,Male,Asian,4,SomeCollege,Public,Town,71.94280165612224,67.49692464550127,63.48132022178427,3.296171444300388,0.8761903637678405,0.7528272622456279,1,0,0,1,0,2,2
14,9,Female,Hispanic,1,HS,Public,City,64.69131839813556,68.26485004626878,67.20289632774207,2.993757134059176,0.8828277058250067,0.8294794933062375,1,1,0,0,1,4,3
14,9,Male,Hispanic,1,<HS,Public,Suburban,56.1758415438245,61.19673551875211,53.38500671145829,1.8881035676624247,0.8029145665981204,0.4244309227424369,1,1,1,0,0,3,1
14,9,Male,Black,3,SomeCollege,Public,Suburban,53.54555181226877,68.30323766064039,70.84536311017905,3.0860911398257898,0.8168019655582759,0.6649338322765771,1,1,0,0,1,3,3
16,11,Male,Hispanic,4,SomeCollege,Public,Suburban,81.91144541816911,77.6886404499262,72.24616738439664,2.8508012427581555,0.9204025520559698,0.8895193743054434,1,1,0,0,1,5,1
17,12,Female,White,3,SomeCollege,Private,Suburban,68.92317944044325,71.6076115148082,88.84508266921235,3.164086179441917,0.8727006092709425,1.4347349281499184,1,1,0,1,0,3,3
18,12,Male,White,3,SomeCollege,Private,Suburban,54.17853614981283,66.16471537145516,67.91126893905148,2.1806170481699128,0.8377570854774786,0.3856984148142923,1,0,1,1,0,3,1
18,12,Male,Black,1,HS,Public,Rural,70.52787845096778,76.61221878328645,89.16138478853215,3.389359499272274,0.9053966062359434,0.6566854690993287,1,0,1,0,0,3,2
16,11,Female,White,2,SomeCollege,Public,Rural,66.96231871493622,71.01894591597433,65.2971540277105,3.022611673984726,0.8347402990086268,0.5859666893451181,1,1,0,1,0,1,4
14,9,Female,Hispanic,4,HS,Public,Town,76.91482960837828,75.68408935843803,84.45143627492814,3.5556920489714723,0.9531399587047414,0.908596861499544,1,1,1,0,0,2,2
17,12,Female,Hispanic,1,<HS,Public,Suburban,69.28701955540937,67.23962252435322,64.4475710561457,2.5556511748176094,0.8934419788454524,0.9423827553819292,0,0,0,0,0,4,2
15,10,Male,White,4,Bachelors+,Public,Rural,80.17283695508529,75.19080616485847,86.76735062571558,2.7888832559712458,0.9089336198731712,1.2121661502619203,1,0,0,1,0,3,1
18,12,Female,Hispanic,2,<HS,Public,Town,84.17387183493187,79.28202800687203,74.85744160127324,3.115596291642076,0.943273016135748,1.168876832472826,1,1,0,1,0,3,3
14,9,Female,Black,4,HS,Public,Rural,84.69004131125901,80.75498641155872,79.32165007611852,3.990413646988316,0.938429920126695,0.9920716445998592,1,1,0,0,0,3,3
14,9,Male,White,3,Bachelors+,Public,City,56.07935541006341,56.6452762355424,61.736761263602986,2.37233081536404,0.8495871558723807,0.5936328457619401,1,0,1,1,1,2,1
15,10,Female,White,1,HS,Public,Town,75.69368433526526,76.95493585155961,76.05433179444421,2.832827285746997,0.9316018691172376,0.6416443754622602,1,1,0,0,0,2,3
18,12,Male,White,1,<HS,Public,Suburban,67.84935257761099,62.768896172489264,76.01054601259803,2.737349659563285,0.869809519285116,0.88445827211448,0,1,0,0,0,3,1
17,12,Female,Hispanic,4,SomeCollege,Public,Suburban,86.01571313691689,70.49726099238009,79.29748059780175,3.2472088443519582,0.924177222094832,1.1015082115548218,1,1,1,1,0,3,1
14,9,Male,Hispanic,1,HS,Public,Suburban,80.14756726378296,73.01753001334039,75.74798859361765,2.728603272811112,0.9071810219287882,0.8654948789202223,1,1,0,0,0,3,1
14,9,Female,Hispanic,2,HS,Public,Suburban,69.84959667513725,75.54317857876995,69.47986423742596,3.0212719204737875,0.9150365007429334,0.9065060319626383,1,0,0,0,0,4,2
15,10,Female,White,2,<HS,Public,City,83.23636936788563,71.81557151667813,71.4534652430782,3.182680204760288,0.8382351419191576,1.39610044614424,0,1,1,0,0,4,3
18,12,Female,Hispanic,3,SomeCollege,Public,Rural,86.07899755659095,95.7802602416632,78.19618229812139,3.416813788100178,0.9863776749680832,0.7648051627865938,1,1,0,0,0,3,1
16,11,Male,Hispanic,4,Bachelors+,Public,City,69.25385140499814,77.54423762086235,68.21456429784153,3.3449663055229677,0.8940801558268044,0.7752435879723962,1,0,1,0,1,4,1
16,11,Male,White,2,<HS,Public,Suburban,80.9536492306394,77.07511518407678,81.69212243680329,2.998580688279436,0.9166639534596156,0.9239613596120396,1,1,0,0,0,3,2
17,12,Male,White,3,SomeCollege,Public,Town,76.5163749317741,69.56432147868442,81.45884417929264,2.8041106069508883,0.912233805302716,1.0067465707523715,1,0,0,0,1,2,3
14,9,Female,White,1,HS,Public,Rural,80.81279820359836,65.9292994212832,83.17630941683049,3.4574642816672325,0.8774332662590408,1.33871133996436,1,0,0,0,0,4,2
16,11,Female,White,1,SomeCollege,Public,City,81.03978971793204,79.22018909143728,75.99959828860133,3.2909226873733823,0.9001961991351529,1.0344162120479603,0,1,0,0,0,4,3
16,11,Male,Hispanic,3,<HS,Public,City,71.37422423891358,78.97715250087201,75.00251570023482,3.117548504941156,0.9071257647326258,1.2793327937198335,1,0,0,0,0,3,3
15,10,Male,White,3,HS,Public,Town,75.44185745627911,77.74622513572263,85.70994825263901,3.4428446893980125,0.9207452217815048,1.1563887656736205,1,1,0,1,1,4,1
18,12,Male,White,4,SomeCollege,Public,City,73.62221618152923,73.69632622472743,76.0858899485207,3.2600305083143977,0.8779632874867701,0.8625207818412342,1,0,0,0,0,3,3
18,12,Male,White,3,Bachelors+,Private,Town,61.159397750795165,58.71938039297877,54.20239570075206,2.016721637062922,0.790085738798209,0.3054588927842132,1,1,0,0,0,1,2
17,12,Female,White,1,<HS,Public,City,64.75846939405909,60.0135512879847,67.92044419516253,2.814321212295531,0.8490469109997013,0.8873387334627774,0,0,0,0,0,3,2
18,12,Male,Black,1,<HS,Public,Suburban,88.17302025296333,85.5796296757573,89.10851537099974,3.701685475346399,0.9853153626558392,0.907098852059402,1,0,0,0,1,4,2
14,9,Male,Two-or-more,1,<HS,Public,Suburban,50.51882889707542,58.44219161357891,63.307963162464574,2.3233126145113947,0.8378883258592025,0.4277032323333062,1,1,0,0,0,3,1
18,12,Female,White,4,<HS,Public,City,80.54716572139249,81.16923188207431,66.54161752551788,3.087773137692229,0.8871868620955887,1.0959507337054517,1,0,1,0,0,3,3
18,12,Female,Asian,1,SomeCollege,Public,City,84.28976782760446,84.11953288182467,90.08372520104078,3.6431126892661374,0.9264058350197404,1.5790494472629015,0,1,0,1,0,3,3
17,12,Male,Black,1,<HS,Public,Rural,68.64949350144462,64.22042635717891,77.38007147693762,2.7380788408805565,0.8604370524852484,0.903643887653727,0,0,0,0,1,3,2
16,11,Male,White,4,SomeCollege,Private,Suburban,72.58155624259511,70.04397085442605,77.52214130363046,3.1321278453982018,0.9166359425896736,0.8525070691696259,1,1,0,1,1,4,1
17,12,Female,Black,2,<HS,Public,Rural,75.71523200999789,79.72121179506688,86.42643945546041,3.128344914673996,0.9072572897163872,1.2960948664540888,1,0,0,0,1,4,2
15,10,Male,White,1,<HS,Public,Suburban,89.5939026737536,85.21181423953747,89.98818763591105,3.094143340730315,0.984241754604318,1.05650992856872,1,0,1,0,0,1,3
17,12,Male,Hispanic,4,SomeCollege,Public,Suburban,83.886540009536,92.24466482788657,81.34123359567666,3.2742117627052965,0.9429531459873828,1.5569913344076507,1,1,1,1,1,2,2
16,11,Male,Black,4,Bachelors+,Public,Suburban,94.21577416853704,100.0,100.0,4.0,1.0,1.5859727593716006,1,1,0,0,0,3,1
15,10,Female,Hispanic,4,Bachelors+,Public,City,80.60129708179865,76.4348273635351,70.14543516994944,3.061458193936841,0.9047740524710464,0.9420264598777656,1,1,0,1,1,3,3
16,11,Female,White,3,Bachelors+,Public,Rural,73.57889160090205,80.65808456667847,73.99415223170402,2.9528622062203507,0.8966868354812798,0.731383266396195,1,0,1,1,0,1,3
14,9,Male,Asian,4,Bachelors+,Public,City,56.51180211441678,66.60812611999731,57.82148826731773,2.28839556093914,0.8072169079044373,0.7585835351371579,1,1,0,1,0,3,2
15,10,Male,White,2,HS,Public,City,79.58516913958636,76.67032100507429,72.46567080155386,3.359550293401986,0.904069863077826,1.4646477744786228,1,0,0,1,0,4,4
18,12,Female,White,1,HS,Public,Town,55.41858799903319,67.78106249143501,70.06222126017065,2.2366173580409567,0.8299666417916456,1.1720371198748245,0,1,0,0,0,2,2
16,11,Male,White,2,HS,Public,City,82.11471132088548,79.94835708040281,86.70651839126569,2.905148856382418,0.9322953372206724,1.142755596270741,0,1,0,1,1,3,1
16,11,Male,Black,2,SomeCollege,Public,Suburban,82.93500365058674,92.79277733505792,82.54683925466784,3.615668633555168,0.9562528546086616,1.63443316725636,0,1,0,1,1,3,2
16,11,Female,Black,1,HS,Public,Suburban,72.20703479439993,74.55407596664998,69.20518900676568,2.5034139186409528,0.8713629180409299,0.611225744732862,0,0,0,1,1,3,3
15,10,Male,Hispanic,3,<HS,Private,Suburban,77.31984184858206,81.397498212067,84.95890788746092,3.4534975322817543,0.9173715898449673,1.743158122780344,1,1,0,0,0,2,3
15,10,Male,Hispanic,4,SomeCollege,Public,City,73.32161632023737,70.2106664393984,72.86692494274865,2.4775687248604297,0.8557299940607469,0.7664337232635737,1,0,0,0,0,2,2
17,12,Male,White,4,SomeCollege,Public,City,91.28358277449902,100.0,93.92921228273003,4.0,1.0,1.335721358205878,1,0,0,0,0,4,2
18,12,Male,Hispanic,3,HS,Public,Suburban,90.7184863255135,86.59039668488805,88.09801068159803,3.592775870187001,0.9770896342460184,1.3705438864100927,1,0,0,0,0,3,2
18,12,Female,White,4,Bachelors+,Private,City,74.4437824558153,74.52672864956294,81.55744155820527,2.8832488873715443,0.930211308195816,0.9092800827279884,1,1,0,0,1,3,1
14,9,Male,Hispanic,3,SomeCollege,Public,Suburban,72.92824041052512,74.05580529774535,84.99387182458716,3.066778781821495,0.8864553314728973,0.7169866248203052,0,0,0,0,0,3,1
14,9,Male,Hispanic,1,Bachelors+,Public,Rural,84.4556400106573,88.85684909252278,93.51021201523542,3.102677337298597,0.988048678251961,0.9404731355298012,0,0,0,0,0,2,1
15,10,Male,Hispanic,1,HS,Public,City,72.87237248192005,74.74842192336992,65.59889531362103,2.817786216441743,0.862352949171412,1.011484934382052,1,0,0,0,0,3,2
17,12,Female,Hispanic,2,HS,Public,City,91.53355495322025,87.79463802638351,96.80450692996985,3.7197557611757217,0.9667684762904658,1.596989484885987,1,1,0,0,0,3,3
16,11,Male,White,3,<HS,Public,Suburban,65.8981024982402,83.44586545669307,79.70429975689628,3.379514846561749,0.94181412915965,0.6963805360349111,1,1,0,0,1,4,1
14,9,Female,Hispanic,1,<HS,Private,Suburban,70.19410908836045,74.76772288107891,78.41234810010234,2.930068889149793,0.901244209039636,0.6851474099769468,0,1,0,0,0,3,1
18,12,Male,Black,3,HS,Public,Suburban,71.71605517093337,73.77267278909578,68.17522973740182,2.448538333847908,0.8928807870355637,0.8437449048085264,1,1,0,0,0,4,3
18,12,Female,White,4,HS,Public,Town,75.49526167935312,72.69784370994257,61.70558048803026,3.467984222009707,0.9030327287593828,0.9198496842635692,1,1,0,0,1,4,2
17,12,Male,Asian,1,HS,Public,Rural,66.92544848498791,70.20362943904732,76.27219479011094,2.212859384333437,0.8681803956493959,0.6239735941491392,1,1,0,0,0,3,1
14,9,Male,Two-or-more,4,SomeCollege,Public,Suburban,82.13953690380438,78.8930440836554,81.46744513278423,3.492802654799546,0.9535175941258308,1.0101528552492012,1,0,1,1,0,4,1
15,10,Male,Hispanic,2,HS,Public,Rural,68.2769222637505,66.28379732553311,62.69482978188597,2.4404540631409417,0.8182051993993649,0.7652659600844156,1,1,0,0,0,1,2
14,9,Male,Hispanic,1,HS,Public,Suburban,87.50493074427119,81.52194068112122,88.6367524670861,2.9914575121067686,0.982897774055938,1.1410177125105925,0,1,0,1,0,2,1
17,12,Female,Hispanic,1,<HS,Public,Suburban,76.0763334210731,70.5578626493391,77.51511792374059,3.1889772573609254,0.8626685598829741,1.3731290659384827,0,1,0,0,1,2,5
14,9,Female,White,2,SomeCollege,Public,City,64.2028459863871,69.08866646719886,67.23747035755486,2.541969885806291,0.853754503157499,0.381240173478229,1,1,0,1,0,3,1
14,9,Female,White,2,SomeCollege,Public,Suburban,75.74729650881092,66.06415222950545,77.11736664301633,2.6592159651060694,0.8611685775709926,0.2986216816695232,1,1,1,1,0,3,4
15,10,Female,Black,4,HS,Public,Suburban,76.9400787236775,83.89830314572185,87.01586014022143,3.790768060382325,0.9433923596016388,1.2534935846371305,1,1,0,0,0,4,2
15,10,Female,Hispanic,3,SomeCollege,Public,City,67.75276736595727,71.24946132774532,76.72893436894513,2.739776294511654,0.8865588751440743,1.4654002081639352,1,0,1,0,0,3,1
14,9,Male,Other,2,HS,Public,Suburban,87.64521289301919,95.56728914389748,95.08226014981102,3.586403426412984,1.0,1.1035168743191317,1,0,0,1,0,3,1
17,12,Female,Hispanic,4,Bachelors+,Public,Town,70.39126780148737,67.83635896213856,67.9040260275436,2.60707391167156,0.8238357536396274,0.7240084509530342,1,0,0,0,1,3,1
14,9,Female,Asian,1,<HS,Public,Suburban,75.43440701938874,78.40425820454848,83.59715753340264,3.1266502024470104,0.9329017558958382,1.2158968542440998,1,0,0,1,0,1,1
14,9,Female,Two-or-more,1,<HS,Public,Town,63.06843773156863,78.6532899496512,63.00929806002439,3.281830191763841,0.8682465515406779,0.4280304451651729,1,0,0,0,0,3,2
14,9,Female,White,3,HS,Public,Suburban,60.202655661368055,74.14867848122397,71.34750646418196,2.4799232485275,0.8901722589509659,0.1304026838950959,1,1,0,0,0,3,2
15,10,Male,Hispanic,2,HS,Public,Suburban,64.1752172611175,74.7139108281737,66.89467115293783,2.831819843670285,0.8767568889167532,0.9867962289762816,0,1,1,0,0,3,1
15,10,Female,White,1,<HS,Public,Suburban,76.6444364524406,76.78609385685901,77.9594300314426,3.457979245392525,0.9147585331927608,0.3701584849106576,0,0,0,0,0,4,1
14,9,Male,Black,3,SomeCollege,Public,Suburban,53.06077001897943,73.32064907953838,61.316338255378525,2.6216765046170822,0.8672113262262306,0.7138343272137164,1,1,1,1,1,3,2
16,11,Male,White,4,SomeCollege,Private,City,84.96929481757437,76.66456788926344,75.74969221901397,3.598650682287033,0.9129553937422412,0.8666925454230482,1,0,0,0,0,3,1
14,9,Female,Asian,4,SomeCollege,Public,Town,55.62787122731428,67.58458672170676,76.29146647202492,2.416214648665344,0.9192821218498818,1.216011620105773,1,0,0,1,0,4,3
15,10,Female,Hispanic,2,<HS,Private,Rural,75.3692980669878,77.59852520624572,82.52507230395275,2.960358813642374,0.9440403318504504,0.998528112818705,1,1,0,0,0,3,3
14,9,Female,White,2,HS,Public,Suburban,73.56306110794594,76.14839480762053,75.54788406938285,3.1947839431975305,0.9146868777929256,0.6495219362007383,1,0,0,0,0,4,2
18,12,Male,White,3,HS,Private,Town,65.83107289098223,79.77907731873678,68.11124659770304,2.8720111436541926,0.8567085045076943,1.0206098949160405,1,1,0,0,0,3,4
16,11,Female,White,4,Bachelors+,Private,Rural,85.68172339912628,70.3358487712443,88.7210295847828,3.346938770568506,0.944190189950976,1.0702208467343453,1,1,0,1,0,3,2
15,10,Male,Black,2,SomeCollege,Public,Suburban,78.4990077044537,84.33134194384314,86.19975992702136,3.5816870386057817,0.919560760687224,1.7328503556202075,1,1,0,0,0,3,4
18,12,Male,White,1,HS,Public,Suburban,74.59126969961788,73.16916343672099,81.86069888743894,3.105340683316528,0.9249958190671468,1.3343635440612092,1,0,0,1,0,2,3
15,10,Female,White,1,<HS,Public,City,86.95587621850576,76.07165596527746,73.7129636541444,3.279563248156198,0.9190614751783404,0.7038172463518119,0,1,0,0,0,4,3
14,9,Male,Hispanic,1,HS,Public,Rural,65.95367221928879,64.21102407400684,70.15101224082336,2.2969966691104,0.8250154325040083,0.8317512428304547,1,0,0,1,0,3,2
14,9,Female,Black,2,HS,Public,City,78.66284873141421,77.4693424063351,70.24004273355139,2.909871044046373,0.8877341707551012,0.7816770837980508,0,0,0,0,0,3,3
18,12,Male,Two-or-more,1,<HS,Public,Suburban,83.17754463125706,95.60056666426188,88.11307330546504,3.2030526020358647,0.954575047317989,1.0636203832653432,1,1,0,0,0,4,3
18,12,Female,White,1,HS,Public,City,74.19339788459715,77.95222860344616,80.93938824995953,2.979368208972737,0.9115384964644684,0.7774474627833561,1,1,0,0,0,3,1
17,12,Female,Hispanic,3,HS,Public,City,77.87911862225647,73.24971850013064,67.35243707021104,3.1603593125976124,0.8710650287690379,1.2932071901691595,1,1,1,1,0,5,1
15,10,Male,Black,2,SomeCollege,Public,City,58.31892335866696,71.77471596772955,56.67505771336005,2.755777768670052,0.8361017866871456,1.1202021074437207,1,1,0,0,1,3,2
18,12,Female,Black,2,SomeCollege,Public,Suburban,74.02412673162279,68.83434986772184,77.04785110867117,2.918235745143651,0.8838546519734842,1.356913424494643,0,0,0,0,0,2,1
18,12,Male,Black,3,SomeCollege,Private,Suburban,71.82514348882373,68.28144198058033,75.2409631763979,2.5605595247221444,0.8544741520448311,1.1186371660809251,0,1,0,1,0,5,1
17,12,Male,Hispanic,1,<HS,Public,Suburban,86.6709063692472,92.07917478980453,81.97303895143497,3.145507648308476,0.947508343933231,0.968408695811184,1,0,1,1,1,2,1
17,12,Male,Hispanic,1,<HS,Public,City,70.42898789544311,67.1417412639193,67.72347749648722,2.6198666746658725,0.8845519446678615,0.5897253108114541,0,1,0,0,1,4,3
15,10,Female,Two-or-more,2,HS,Public,Rural,63.83674304762293,55.7295529986915,61.38000379859683,2.129014603713032,0.810455843109101,0.4748981930231029,1,1,0,1,0,2,2
17,12,Male,White,3,HS,Public,Suburban,78.77763598021707,88.04732329862892,78.51886022918985,3.0377145069550404,0.9518475185047048,1.1584071434473209,1,1,1,0,0,3,1
16,11,Female,White,1,SomeCollege,Public,Suburban,76.06181977599014,74.7902398806979,68.57237805696859,2.6509569630614265,0.8676085032956121,0.4795897496719724,1,1,0,0,1,2,1
16,11,Female,White,2,HS,Public,Town,91.55187789696564,89.95234744305955,85.11080905938496,3.303445041248166,0.9727697247320318,1.5227862824037832,0,1,0,0,0,2,2
15,10,Male,Black,1,HS,Public,Suburban,76.32229016237284,71.91013462962162,81.72343964471526,3.1971497774056727,0.8884190306062342,0.8020313453791921,1,0,0,1,1,3,1
18,12,Female,Hispanic,4,Bachelors+,Private,Suburban,83.73512097136835,84.98271568155891,88.91344036399636,3.315212329915976,0.9546699309143588,1.2100940780553855,1,1,0,1,1,3,2
14,9,Female,White,4,Bachelors+,Public,Suburban,94.06109991365264,100.0,87.7304350920761,4.0,0.9738011179683588,1.2104813672809192,1,1,1,0,0,1,2
14,9,Female,Asian,1,Bachelors+,Public,City,71.33274871046561,80.01167694606356,71.10608006940116,2.756635472329735,0.8876378221114217,1.0548667832905223,1,1,0,1,0,3,2
17,12,Male,White,2,HS,Public,Rural,62.08990390760444,80.54936878394548,68.82717942079742,3.2183004822978694,0.9281088932185876,1.085629367311148,1,0,0,0,0,3,2
17,12,Female,White,2,Bachelors+,Public,Suburban,92.6318089243471,89.64806996496421,100.0,3.429566370901073,1.0,1.7954943383856556,0,1,0,1,1,4,1
15,10,Female,Two-or-more,1,<HS,Private,Suburban,58.27974351462849,59.79407239889626,65.91789535208625,2.3770694268736072,0.8266466095210214,0.4220238452037992,1,0,0,0,0,4,3
16,11,Female,White,4,SomeCollege,Public,City,76.93433221310006,75.99633083806071,75.26829232198098,2.8068271670368428,0.874228209829237,1.1601951601075695,1,1,0,1,0,3,3
16,11,Female,Hispanic,2,HS,Public,City,66.46564859374008,56.5792396551481,63.52497923800106,2.664550276344053,0.8536186949048826,0.900368267757226,1,0,0,0,0,3,2
16,11,Female,Black,1,SomeCollege,Public,Rural,70.32442340290679,76.87004953465873,76.82000191125229,2.9217905663308543,0.9072269269566356,0.7055289560722677,1,0,0,0,0,1,2
16,11,Female,Black,3,HS,Public,City,73.61261005614125,70.82272223022143,59.94099710604397,2.544895620413677,0.8454210532794654,0.4744911267391904,1,0,0,0,1,3,1
